id,ลำดับ,ประมาณการติดตั้ง Solar cell,KW_PK,ตรวจสอบสถานที่,ชื่อโรงเรียน,ที่อยู่,ชื่อตำบล,ชื่ออำเภอ,ชื่อจังหวัด,รหัสไปรษณีย์,จำนวนนักเรียน,ภาค,สังกัด,เขต,กฟภ,อัตรา,CA,Status,status_date,activity,activity_date,การติดต่อ 15%,การเจรจา 30%,ความสนใจ 30%,กำลังติดตั้ง 25%,Score 10คะแนน,การดำเนินงาน,E-mail,วันที่ดำเนินการ,ดำเนินการโดย,ชื่อผู้ประสานงานโรงเรียน,ตำแหน่ง,เบอร์ติดต่อผู้ประสานงาน,ชื่อผู้อำนวยการโรงเรียน,เบอร์ติดต่อ ผอ.,ค่าฟ้าเฉลี่ย/เดือน,สถานะดำเนินการของ กฟภ.,ผู้ลงทุน,กลุ่มขนาดติดตั้ง,ชื่อผู้ติดต่อสังกัดสถานศึกษา,เบอร์โทรองค์กรสังกัดสถานศึกษา,เลขที่,วันที่,เลขที่ ศธ,วันที่ตอบกลับ,เลขที่ใบปะหน้า,วันที่ใบปะหน้า,เลขที่หนังสือ,วันที่หนังสือ,เลขที่ ศธ ข้อเสนอ,วันที่ข้อเสนอ,Simulation,ข้อเสนอโครงการ,ข้อเสนอโครงการที่ออกจาก PEA,PEA,Focus,อาจารย์โจ้,check,Latitude,Longitude,chk,statusArr,activityArr,meterArr,รวมKW_PK,ความเข้าใจในโมเดล ESCO (10%),ระดับความร่วมมือของโรงเรียน (10%),การตัดสินใจและอำนาจภายใน (10%),ความพร้อมในการให้ข้อมูล (10%),การค้างค่าไฟฟ้า (10%),หมายเหตุของโรงเรียน,พื้นที่ติดตั้งที่มีอยู่ (10%),สภาพวัสดุมุงหลังคา (10%),สภาพโครงสร้าง (10%),จุดเชื่อมต่อและการเดินสายไฟ (10%),การเข้าถึงหน้างาน (10%),หมายเหตุของพื้นที่,รวมคะแนน,link หนังสือเชิญ,link หนังสือตอบรับข้อเสนอ,link ข้อเสนอโครงการ,
485,696,80,72.56,,โรงเรียนกีฬาองค์การบริหารส่วนจังหวัดแพร่(พัฒนาประชาอุปถัมภ์),,วังหลวง,หนองม่วงไข่,แพร่,54170,ไม่พบ,เหนือ,อบจ.,,กฟน.2,3224,20009587366,,,,,,,,,,,,,,,,,,,69449.25,#N/A,i2,เล็ก,,,,,,,,,,,,,,,,,,,,18.2509588,100.1703257,File original,,,,,,,,,,,,,,,,,,,,,
486,698,350,345.7,,โรงเรียนนารีรัตน์จังหวัดแพร่,,ในเวียง,เมืองแพร่,แพร่,54000,2908,เหนือ,สพม.แพร่,,กฟน.2,3224,20010217330,สนใจ,,,,7,7,7,7,7,info@nareerat.ac.th,info@nareerat.ac.th,1-4 Apr,,,,,,054 511124,,#N/A,#N/A,,นายรุ่งอรุณ ป้องกัน,054 – 511137,,,,,,,,,,,,,,1,M000437,,ไม่ซ้ำ,18.1433934,100.1396257,File Phat,,,,,,,,,,,,,,,,,,,,,
487,699,370,368.46,,โรงเรียนพิริยาลัยจังหวัดแพร่,,ในเวียง,เมืองแพร่,แพร่,54000,3081,เหนือ,สพม.แพร่,,กฟน.2,3224,20010217363,ไม่สนใจ-ติดตั้งแล้ว,,,,7,7,7,6.5,6.9,ติดตั้งแล้วของกระทรวงพลังงานใช้ทุกอาคาร,,1-4 Apr,,,,,,054 511104,,ตอบรับเข้าร่วมโครงการ,UTEL,,,,,,,,,,,,,,Pla,,,1,,,ไม่ซ้ำ,,,"File Phat,add",,,,,,,,,,,,,,,,,,,,,
488,702,100,92.19,,โรงเรียนลองวิทยา,,ห้วยอ้อ,ลอง,แพร่,54150,1179,เหนือ,สพม.แพร่,,กฟน.2,3224,20010417979,ติดต่อใหม่-ไม่มีคนรับสาย,,,,,,,,#VALUE!,admin2020@longwittaya.ac.th,admin2020@longwittaya.ac.th,,หมิง,,,054 581 439,,,,#N/A,#N/A,,นายรุ่งอรุณ ป้องกัน,054 – 511137,,,,,,,,,,,Pla,,,1,M000439,,ไม่ซ้ำ,18.0907778,99.8465477,File Phat,,,,,,,,,,,,,,,,,,,,,
489,703,150,142.34,,โรงเรียนวัดเมธังกราวาส(เทศรัฐราษฎร์นุกูล),,ในเวียง,เมืองแพร่,แพร่,54000,1319,เหนือ,สพป.แพร่,1,กฟน.2,3224,20010217350,สนใจ,,,,7,7,7,2,5.8,ส่งหนังสือเชิญ methangkarawas@gmail.com,methangkarawas@gmail.com,1-4 Apr,,,,,,054 - 511101,,#N/A,#N/A,,นายประเสริฐศักดิ์ เหินไทสง,054-511605,,,,,,,,,,,,,,1,M000435,,ไม่ซ้ำ,18.1387801,100.1436628,File Phat,,,,,,,,,,,,,,,,,,,,,
490,704,80,76.06,,โรงเรียนวิไลเกียรติอุปถัมภ์,505/11,เด่นชัย,เด่นชัย,แพร่,54110,721,เหนือ,สพม.แพร่,,กฟน.2,3224,20009621062,,,,,,,,,,,,,,,,,,,61354.9,#N/A,i2,เล็ก,,,,,,,,,,,,,,,,,,,,17.987649,100.0592775,File original,,,,,,,,,,,,,,,,,,,,,
491,705,80,77.83,,โรงเรียนสองพิทยาคม,,บ้านหนุน,สอง,แพร่,54120,918,เหนือ,สพม.แพร่,,กฟน.2,3224,20010036118,,,,,,,,,,,,,,,,,,,64040.71,#N/A,i2,เล็ก,,,,,,,,,,,,,,,,,,,,18.4508379,100.1844782,File original,,,,,,,,,,,,,,,,,,,,,
492,706,180,178.25,,โรงเรียนสูงเม่นชนูปถัมภ์,,ดอนมูล,สูงเม่น,แพร่,54130,949,เหนือ,สพม.แพร่,,กฟน.2,3224,20010092482,สนใจ,,,,7,7,7,3,6,sungmen.ac.th@gmail.com,sungmen.ac.th@gmail.com,1-4 Apr,,,,,,054 541604,,#N/A,#N/A,,นายรุ่งอรุณ ป้องกัน,054 – 511137,,,,,,,,,,,Pla,,,1,M000436,,ไม่ซ้ำ,18.0725172,100.1211773,File Phat,,,,,,,,,,,,,,,,,,,,,
493,707,100,91.28,,โรงเรียนอนุบาลแพร่,เลขที่ 57 หมู่ที่ 9 ,นาจักร,เมืองแพร่,แพร่,54000,1115,เหนือ,สพป.แพร่,1,กฟน.2,3224,20010288063,รอเซ็นต์สัญญา,,,,9,9,10,1,7.3,,,26-30 May,ออมสิน,นางอนุสรา โลกคำลือ,รองผู้อำนวยการสถานศึกษา,091-3811393,นายวิทูรย์ สินธุวงศ์,,,,I2,,นายประเสริฐศักดิ์ เหินไทสง,054-511605,814,2024-03-01,๐๔๑๐๙.๑๔/๑๑๑,2024-01-30,๕๓๐๓.๑๐/๔๗๐๕๘,2024-07-11,,,๐๔๑๐๙.๑๔/๕๖๐,2024-08-26,Pla,Pla,45484,1,M000440,อาจารย์โจ้,ไม่ซ้ำ,,,"File Phat,add","[{""status"":""สนใจนำเสนอโครงการ"",""date"":""""},{""status"":""ตอบรับเข้าร่วมโครงการ"",""date"":""2024-01-30""},{""status"":""กฟภ. ส่งข้อเสนอโครงการ+ร่างสัญญา"",""date"":""2024-07-11""},{""status"":""นำเสนอข้อเสนอโครงการ"",""date"":""2024-07-11""},{""status"":""ตอบรับร่างสัญญาโครงการ"",""date"":""2024-08-26""}]","[{""activity"":""ส่งหนังสือเชิญ-ไปรษณีย์"",""date"":""""},{""activity"":""ติดตามตามเอกสารรอเซ็นต์สัญญา"",""date"":""2024-08-26""}]","[{""ca"":""20010288063"",""kw_pk"":""80.64"",""rate"":""3224""}]",80.64,,,,,,,,,,,,,0,https://moevethailand-my.sharepoint.com/:b:/g/personal/sarayut_s_moevedigital_com/EdBequznJHtCquYDH5MP1uQBwwXfwPxgb0IakwjSDmn-7Q?e=oyofjS,https://moevethailand-my.sharepoint.com/:f:/g/personal/sarayut_s_moevedigital_com/EtSHm44rcV1CtXwdJy0nr2EBldX8JuWL6nnx8E7VY07wwQ?e=WQc08i,https://moevethailand-my.sharepoint.com/:f:/g/personal/sarayut_s_moevedigital_com/Es2y8LVAGfNBkWuSvd8Hzt4BeCI_L7qCvebwkAGXaRZA5A?e=LBz8hY,
494,708,60,59.2,,โรงเรียนกันทรวิชัย,,โคกพระ,กันทรวิชัย,มหาสารคาม,44150,939,ตะวันออกเฉียงเหนือ,สพม.มหาสารคาม,,กฟฉ.2,3224,20011401573,,,,,,,,,,,,,,,,,,,47416.72,#N/A,i2,เล็ก,,,,,,,,,,,,,,,,,,,,16.3319301,103.3013687,File original,,,,,,,,,,,,,,,,,,,,,
495,709,190,181.6,,โรงเรียนโกสุมวิทยาสรรค์,,หัวขวาง,โกสุมพิสัย,มหาสารคาม,44140,2617,ตะวันออกเฉียงเหนือ,สพม.มหาสารคาม,,กฟฉ.2,3224,20019194069,ไม่สนใจ-มีเจ้าอื่นเข้าแล้ว,,,,,,,,#VALUE!,kws2018.fb@gmail.com,kws2018.fb@gmail.com,,หมิง,,,043-761654,,,,#N/A,#N/A,,,,,,,,,,,,,,Pla,,,1,,,ไม่ซ้ำ,16.237,103.068389,File Phat,,,,,,,,,,,,,,,,,,,,,
496,710,90,89.45,,โรงเรียนเขวาไร่ศึกษา,,เขวาไร่,โกสุมพิสัย,มหาสารคาม,44140,1207,ตะวันออกเฉียงเหนือ,สพม.มหาสารคาม,,กฟฉ.2,3224,20011913230,,,,,,,,,,,,,,,,,,,71351.74,#N/A,i2,เล็ก,,,,,,,,,,,,,,,,,,,,16.2964817,102.9216063,File original,,,,,,,,,,,,,,,,,,,,,
497,711,150,143.14,,โรงเรียนเชียงยืนพิทยาคม,,เชียงยืน,เชียงยืน,มหาสารคาม,44160,1565,ตะวันออกเฉียงเหนือ,สพม.มหาสารคาม,,กฟฉ.2,3224,20012472385,ติดต่อใหม่-เบอร์ติดต่อไม่ได้,,,,,,,,#VALUE!,chk203@hotmail.com,chk203@hotmail.com,,หมิง,,,043-029658,,,,#N/A,#N/A,,,,,,,,,,,,,,Pla,,,1,,,ไม่ซ้ำ,16.4289386,103.063155,File Phat,,,,,,,,,,,,,,,,,,,,,
498,712,80,78.09,,โรงเรียนท่าขอนยางพิทยาคม,,ท่าขอนยาง,กันทรวิชัย,มหาสารคาม,44150,ไม่พบ,ตะวันออกเฉียงเหนือ,อบจ.,,กฟฉ.2,3224,20012018065,,,,,,,,,,,,,,,,,,,67586.39,#N/A,i2,เล็ก,,,,,,,,,,,,,,,,,,,,16.2417602,103.2536282,File original,,,,,,,,,,,,,,,,,,,,,
499,714,150,147.86,,โรงเรียนบรบือ,,บรบือ,บรบือ,มหาสารคาม,44130,2336,ตะวันออกเฉียงเหนือ,สพม.มหาสารคาม,,กฟฉ.2,3224,20011630475,ติดต่อใหม่-เบอร์ติดต่อไม่ได้,,,,,,,,#VALUE!,,,,หมิง,,,043 771 049,,,,#N/A,#N/A,,,,,,,,,,,,,,Pla,,,1,,,ไม่ซ้ำ,16.0421908,103.1228158,File Phat,,,,,,,,,,,,,,,,,,,,,
500,715,160,150.67,,โรงเรียนบรบือวิทยาคาร,,หนองสิม,บรบือ,มหาสารคาม,44130,2160,ตะวันออกเฉียงเหนือ,สพม.มหาสารคาม,,กฟฉ.2,3224,20011621810,ติดต่อใหม่-เบอร์ติดต่อไม่ได้,,,,,,,,#VALUE!,manager@bwk.ac.th,manager@bwk.ac.th,,หมิง,,,0-4377-1026,,,,#N/A,#N/A,,,,,,,,,,,,,,Pla,,,1,,,ไม่ซ้ำ,16.044109,103.1092063,File Phat,,,,,,,,,,,,,,,,,,,,,
501,717,180,171.67,,โรงเรียนพยัคฆภูมิวิทยาคาร,,ปะหลาน,พยัคฆภูมิพิสัย,มหาสารคาม,44110,2942,ตะวันออกเฉียงเหนือ,สพม.มหาสารคาม,,กฟฉ.2,3224,20012729259,สนใจ,,,,,,,,#VALUE!,ส่งหนังสือเชิญทางไลน์ ID:0986629875,ไลน์ ID:0986629875,,หมิง,098-6629875,,043-791427,,,,#N/A,#N/A,,,,,,,,,,,,,,Pla,,,1,,,ไม่ซ้ำ,15.5128973,103.1931763,File Phat,,,,,,,,,,,,,,,,,,,,,
502,719,430,421.93,,โรงเรียนสารคามพิทยาคม,,ตลาด,เมืองมหาสารคาม,มหาสารคาม,44000,3749,ตะวันออกเฉียงเหนือ,สพม.มหาสารคาม,,กฟฉ.2,3224,20011860169,,,,,,,,,,,,,,,,,,,304732.01,#N/A,i2,ใหญ่,,,,,,,,,,,,,,,,,,,,16.1867119,103.2991363,File original,,,,,,,,,,,,,,,,,,,,,
503,720,70,64.24,,โรงเรียนหลักเมืองมหาสารคาม,,ตลาด,เมืองมหาสารคาม,มหาสารคาม,44000,1227,ตะวันออกเฉียงเหนือ,สพป.มหาสารคาม,1,กฟฉ.2,3224,20011834804,,,,,,,,,,,,,,,,,,,50053.81,#N/A,i2,เล็ก,,,,,,,,,,,,,,,,,,,,16.1893742,103.2991457,File original,,,,,,,,,,,,,,,,,,,,,
504,725,390,387.2,,โรงเรียนวิทยาศาสตร์จุฬาภรณราชวิทยาลัย มุกดาหาร,,บางทรายใหญ่,เมืองมุกดาหาร,มุกดาหาร,49000,740,ตะวันออกเฉียงเหนือ,สพม.มุกดาหาร,,กฟฉ.2,3224,20012171125,สนใจ,,ส่งหนังสือเชิญแล้ว-อีเมลล์,,,,,,#VALUE!,ส่งหนังสือเชิญทางเมลวันที่ 5/6/68,office@pccm.ac.th,05-06-25,หมิง,,,042-660442,,,,#N/A,#N/A,,,,,,,,,,,,,,,,,1,,,ไม่ซ้ำ,16.6054684,104.6790229,File Phat,,,,,,,,,,,,,,,,,,,,,
505,727,60,58.74,,โรงเรียน อบจ.บ้านจองคำ,ถ.ขุนลุมประพาส,จองคำ,เมืองแม่ฮ่องสอน,แม่ฮ่องสอน,58000,ไม่พบ,เหนือ,อบจ.,,กฟน.1,3224,20005102786,,,,,,,,,,,,,,,,,,,52775.54,#N/A,i2,เล็ก,,,,,,,,,,,,,,,,,,,,19.309803,97.9630673,File original,,,,,,,,,,,,,,,,,,,,,
506,728,90,80,,โรงเรียนแม่สะเรียง(บริพัตรศึกษา),,บ้านกาศ,แม่สะเรียง,แม่ฮ่องสอน,58110,1955,เหนือ,สพม.แม่ฮ่องสอน,,กฟน.1,3224,20005063263,,,,,,,,,,,,,,,,,,,75331.17,#N/A,i2,เล็ก,,,,,,,,,,,,,,,,,,,,18.1807423,97.9281095,File original,,,,,,,,,,,,,,,,,,,,,
507,729,60,53.1,,โรงเรียนปายวิทยาคาร,,เวียงใต้,ปาย,แม่ฮ่องสอน,58130,1442,เหนือ,สพม.แม่ฮ่องสอน,,กฟน.1,3224,20005145887,,,,,,,,,,,,,,นายภูวดล สุระจินดา,ครู,086-9145282,นายปรุเชษฐ์ มธุรส,,57951.96,,i2,เล็ก,,,3757,2024-07-25,๐๔๓๒๙.๐๔/๙๐๕,2024-07-18,,,,,,,,,,,,,,19.3559527,98.4420667,File original,"[{""status"":""สนใจนำเสนอโครงการ"",""date"":""""},{""status"":""ตอบรับเข้าร่วมโครงการ"",""date"":""2024-07-18""}]","[{""activity"":""ส่งหนังสือเชิญ"",""date"":""""},{""activity"":""ตอบรับส่งทางไปรษณีย์"",""date"":""""}]","[{""ca"":""20005145887"",""kw_pk"":""51.66"",""rate"":""3224""}]",51.66,,,,,,,,,,,,,0,https://moevethailand-my.sharepoint.com/:b:/g/personal/sarayut_s_moevedigital_com/EfuE_YuUd8pEv9pnITsYkcgBlrki56cic7E8_Ml_vBwI5A?e=4YPzc5,,,
508,730,60,57.64,,โรงเรียนแม่ลาน้อยดรุณสิกข์,95 หมู่ 9 ม.9,แม่ลาน้อย,แม่ลาน้อย,แม่ฮ่องสอน,58120,955,เหนือ,สพม.แม่ฮ่องสอน,,กฟน.1,3224,20004475483,,,,,,,,,,,,,,,,,,,57240.14,#N/A,i2,เล็ก,,,,,,,,,,,,,,,,,,,,18.3835594,97.9427245,File original,,,,,,,,,,,,,,,,,,,,,
509,731,50,43.5,,โรงเรียนราชประชานุเคราะห์ 34,127 ม.3,ถ้ำลอด,ปางมะผ้า,แม่ฮ่องสอน,58150,310,เหนือ,สศศ.,,กฟน.1,3224,20004938751,,,,,,,,,,,,,,,,,,,63841.5,#N/A,i2,เล็ก,,,,,,,,,,,,,,,,,,,,19.5414275,98.2681657,File original,,,,,,,,,,,,,,,,,,,,,
510,732,50,43.25,,โรงเรียนราชประชานุเคราะห์ ๕๙จังหวัดแม่ฮ่องสอน,,ปางหมู,เมืองแม่ฮ่องสอน,แม่ฮ่องสอน,58000,ไม่พบ,เหนือ,สศศ.,,กฟน.1,3224,20005114655,,,,,,,,,,,,,,,,,,,63088.04,#N/A,i2,เล็ก,,,,,,,,,,,,,,,,,,,,19.3646662,97.9695722,File original,,,,,,,,,,,,,,,,,,,,,
511,733,50,47.96,,โรงเรียนสบเมยวิทยาคม,ถ.แม่สะเรียง-ท่าสองยาง,แม่คะตวน,สบเมย,แม่ฮ่องสอน,58110,775,เหนือ,สพม.แม่ฮ่องสอน,,กฟน.1,3224,20005022084,,,,,,,,,,,,,,,,,,,55939.96,#N/A,i2,เล็ก,,,,,,,,,,,,,,,,,,,,17.9999514,97.9164524,File original,,,,,,,,,,,,,,,,,,,,,
512,734,160,159.74,,โรงเรียนห้องสอนศึกษา ในพระอุปถัมภ์ฯ,,จองคำ,เมืองแม่ฮ่องสอน,แม่ฮ่องสอน,58000,1843,เหนือ,สพม.แม่ฮ่องสอน,,กฟน.1,3224,20005109575,ไม่สนใจ-มีเจ้าอื่นเข้าแล้ว,,,,,,,,#VALUE!,,hongsonsuksa.officer@gmail.com,,หมิง,นายประสิทธิ์  คำเติ๊ก ,ครู,086-1985948,นายอัมพวาร อิตุพร,,,,#N/A,,,,3718,2024-07-24,๐๔๓๒๙.๐๘/๕๙๗,2024-07-19,,,,,,,,,,1,,,ไม่ซ้ำ,19.3114265,97.96364,File Phat,"[{""status"":""สนใจนำเสนอโครงการ"",""date"":""""},{""status"":""ตอบรับเข้าร่วมโครงการ"",""date"":""2024-07-19""}]","[{""activity"":""ส่งหนังสือเชิญ"",""date"":""""},{""activity"":""ตอบรับส่งทางไปรษณีย์"",""date"":""""}]","[{""ca"":""20005109575"",""kw_pk"":""159.74"",""rate"":""3224""}]",159.74,,,,,,,,,,,,,0,https://moevethailand-my.sharepoint.com/:b:/g/personal/sarayut_s_moevedigital_com/Ea6nSOyS4flCgYS7O0BeC98Bs-KWqGl22ilNOYjeuAenUw?e=YK80rL,,,
513,736,90,87.6,,โรงเรียนขัติยะวงษา,ม.17,เหนือเมือง,เมืองร้อยเอ็ด,ร้อยเอ็ด,45000,1088,ตะวันออกเฉียงเหนือ,สพม.ร้อยเอ็ด,,กฟฉ.2,3224,20012507606,,,,,,,,,,,,,,,,,,,68698.8,#N/A,i2,เล็ก,,,,,,,,,,,,,,,,,,,,16.07172178,103.6551064,File original,,,,,,,,,,,,,,,,,,,,,
514,737,200,195.71,,โรงเรียนจตุรพักตรพิมานรัชดาภิเษก,,หัวช้าง,จตุรพักตรพิมาน,ร้อยเอ็ด,45180,1756,ตะวันออกเฉียงเหนือ,สพม.ร้อยเอ็ด,,กฟฉ.2,3224,20012355613,สนใจ,,,,,,,,#VALUE!,ส่งหนังสือเชิญ cprinfo@cpr.ac.th,cprinfo@cpr.ac.th,,หมิง,,,043 – 561148,,,,#N/A,#N/A,,,,,,,,,,,,,,Pla,,,1,,,ไม่ซ้ำ,,,"File Phat,add",,,,,,,,,,,,,,,,,,,,,
515,741,180,173.49,,โรงเรียนพนมไพรวิทยาคาร,,พนมไพร,พนมไพร,ร้อยเอ็ด,45140,2031,ตะวันออกเฉียงเหนือ,สพม.ร้อยเอ็ด,,กฟฉ.2,3224,20012625919,ติดต่อใหม่-ไม่มีคนรับสาย,,,,,,,,#VALUE!,directorppw@ppw.ac.th,directorppw@ppw.ac.th,,หมิง,,,081-261-4133,,,,#N/A,#N/A,,,,,,,,,,,,,,Pla,,,1,,,ไม่ซ้ำ,15.6813509,104.1022324,File Phat,,,,,,,,,,,,,,,,,,,,,
516,742,270,260.6,,โรงเรียนโพนทองพัฒนาวิทยา,,สระนกแก้ว,โพนทอง,ร้อยเอ็ด,45110,2802,ตะวันออกเฉียงเหนือ,สพม.ร้อยเอ็ด,,กฟฉ.2,3224,20011327423,ติดต่อใหม่-เบอร์ติดต่อไม่ได้,,,,,,,,#VALUE!,pptpatwit@patwit.ac.th,pptpatwit@patwit.ac.th,,หมิง,,,043 571 338,,,,#N/A,#N/A,,,,,,,,,,,,,,Pla,,,1,,,ไม่ซ้ำ,16.292985,103.9734486,File Phat,,,,,,,,,,,,,,,,,,,,,
517,743,160,155.27,,โรงเรียนเมืองร้อยเอ็ด,,ในเมือง,เมืองร้อยเอ็ด,ร้อยเอ็ด,45000,2751,ตะวันออกเฉียงเหนือ,สพป.ร้อยเอ็ด,1,กฟฉ.2,3224,20012593807,ไม่สนใจ-มีเจ้าอื่นเข้าแล้ว,,,,,,,,#VALUE!,,,,หมิง,,,043 511 789,,,,#N/A,#N/A,,,,,,,,,,,,,,Pla,,,1,,,ไม่ซ้ำ,16.0256838,103.6131203,File Phat,,,,,,,,,,,,,,,,,,,,,
518,745,120,117.7,,โรงเรียนราชประชานุเคราะห์ 63 จังหวัดร้อยเอ็ด,,นิเวศน์,ธวัชบุรี,ร้อยเอ็ด,45170,521,ตะวันออกเฉียงเหนือ,สศศ.,,กฟฉ.2,3224,20012281775,สนใจ,,,,,,,,#VALUE!,,,,หมิง,,,043 569 034,,,,#N/A,#N/A,,,,,,,,,,,,,,,,,1,,,ไม่ซ้ำ,16.0414758,103.7395875,File Phat,,,,,,,,,,,,,,,,,,,,,
519,746,110,103.23,,โรงเรียนศรีสมเด็จพิมพ์พัฒนาวิทยา,,ศรีสมเด็จ,ศรีสมเด็จ,ร้อยเอ็ด,45000,772,ตะวันออกเฉียงเหนือ,สพม.ร้อยเอ็ด,,กฟฉ.2,3224,20011163813,สนใจ,,,,,,,,#VALUE!,แต่ต้องการใหม่ seesomdejpimpattanawittaya@gmail.com,seesomdejpimpattanawittaya@gmail.com,,หมิง,,,043 508 150,,,,#N/A,#N/A,,,,,,,,,,,,,,,,,1,,,ไม่ซ้ำ,15.9891163,103.4728361,File Phat,,,,,,,,,,,,,,,,,,,,,
520,747,320,316.67,,โรงเรียนสุวรรณภูมิพิทยไพศาล,,สระคู,สุวรรณภูมิ,ร้อยเอ็ด,45130,2832,ตะวันออกเฉียงเหนือ,สพม.ร้อยเอ็ด,,กฟฉ.2,3224,20011850341,ไม่สนใจ-มีเจ้าอื่นเข้าแล้ว,,,,,,,,#VALUE!,"suwanpit99@gmail.com, suwanpit@swp.ac.th","suwanpit99@gmail.com, suwanpit@swp.ac.th",,หมิง,,,043-580076,,,,#N/A,#N/A,,,,,,,,,,,,,,Pla,,,1,,,ไม่ซ้ำ,15.6094698,103.8052346,File Phat,,,,,,,,,,,,,,,,,,,,,
521,748,160,152,,โรงเรียนสุวรรณภูมิวิทยาลัย,,สระคู,สุวรรณภูมิ,ร้อยเอ็ด,45130,1780,ตะวันออกเฉียงเหนือ,สพม.ร้อยเอ็ด,,กฟฉ.2,3224,20011825528,ไม่สนใจ-มีเจ้าอื่นเข้าแล้ว,,,,,,,,#VALUE!,kittisuwan2010@hotmail.com/ kittithuaison@gmail.com,kittisuwan2010@hotmail.com/ kittithuaison@gmail.com,,หมิง,,,043-580649,,,,#N/A,#N/A,,,,,,,,,,,,,,Pla,,,1,,,ไม่ซ้ำ,15.60693,103.7957829,File Phat,,,,,,,,,,,,,,,,,,,,,
522,749,230,224.3,,โรงเรียนเสลภูมิพิทยาคม,,ขวัญเมือง,เสลภูมิ,ร้อยเอ็ด,45120,2647,ตะวันออกเฉียงเหนือ,สพม.ร้อยเอ็ด,,กฟฉ.2,3224,20012269515,ติดต่อใหม่-เบอร์ติดต่อไม่ได้,,,,,,,,#VALUE!,admin@sapit.ac.th,admin@sapit.ac.th,,หมิง,,,043 551 396,,,,#N/A,#N/A,,,,,,,,,,,,,,Pla,,,1,,,ไม่ซ้ำ,16.0341013,103.932038,File Phat,,,,,,,,,,,,,,,,,,,,,
523,751,90,88.1,,โรงเรียนอนุบาลเมืองใหม่สุวรรณภูมิ,531 โรงเรียนอนุบาลเมืองใหม่ ม.20,สระคู,สุวรรณภูมิ,ร้อยเอ็ด,45130,1607,ตะวันออกเฉียงเหนือ,สพป.ร้อยเอ็ด,2,กฟฉ.2,3224,20026425295,,,,,,,,,,,,,,,,,,,62079.21,#N/A,i2,เล็ก,,,,,,,,,,,,,,,,,,,,15.6063359,103.8030648,File original,,,,,,,,,,,,,,,,,,,,,
524,756,150,148.17,,โรงเรียนนานาชาติตากสินแกลง,,ทางเกวียน,แกลง,ระยอง,21110,ไม่พบ,ตะวันออก,อบจ.,,กฟก.2,3224,20023339855,ไม่สนใจ-มีเจ้าอื่นเข้าแล้ว,,,,,,,,#VALUE!,tkisklaeng@gmail.com,tkisklaeng@gmail.com,,หมิง,,,"038-672-341 , 084-3913-134",,038-672-341 หรือ 081-589-5091,,#N/A,#N/A,กลางเล็ก,นายสุรินทร์ แสงทอง,0-3861-7430,,,,,,,,,,,,,,1,M000113,,ไม่ซ้ำ,12.8112736,101.6382082,File Phat,,,,,,,,,,,,,,,,,,,,,
525,758,180,172.49,,โรงเรียนบ้านค่าย,,หนองละลอก,บ้านค่าย,ระยอง,21120,2099,ตะวันออก,สพม.ชลบุรี ระยอง,,กฟก.2,3224,20001636497,ตอบรับหนังสือเชิญ,,,,7,7,8,3,6.3,,,4-6 Jun,,นายอาศิระ วรวงษ์,ครูู,086-7789691,นายดำรงค์ ศรีอร่าม,,,,#N/A,กลางเล็ก,นางนิสา บรรจงการ,038-397501-5,2619,2024-06-25,๐๔๒๙๘.๓๙/๔๓๐,2024-06-20,,,,,,,Nop,Pla,,1,M000108,พี่เหน่ง,ไม่ซ้ำ,12.7624685,101.290137,File Phat,"[{""status"":""นำเสนอโครงการ"",""date"":""""},{""status"":""ตอบรับเข้าร่วมโครงการ"",""date"":""2024-06-20""}]","[{""activity"":""ส่งหนังสือเชิญ"",""date"":""""},{""activity"":""ตอบรับส่งทางไปรษณีย์"",""date"":""""}]","[{""ca"":""20001636497"",""kw_pk"":""166.32"",""rate"":""3224""}]",166.32,,,,,,,,,,,,,0,https://moevethailand-my.sharepoint.com/:b:/g/personal/sarayut_s_moevedigital_com/EXTYK9rxadVNovybd5DUMOYBtforQ30FtJbOZcG1Ps7V1w?e=JoKr7U,,,
526,759,160,159.6,,โรงเรียนบ้านฉางกาญจนกุลวิทยา,,บ้านฉาง,บ้านฉาง,ระยอง,21130,2717,ตะวันออก,สพม.ชลบุรี ระยอง,,กฟก.2,3224,20001764602,ไม่สนใจ-มีเจ้าอื่นเข้าแล้ว,,,,,,,,#VALUE!,โรงเรียนปฎิเสธไม่เข้าร่วมโครงการ,,,หมิง,,,038 – 602333,,038-602-333,,#N/A,#N/A,กลางเล็ก,นางนิสา บรรจงการ,038-397501-5,,,,,,,,,,,Nop,,,2,M000110,,ไม่ซ้ำ,12.7361252,101.0520806,File Phat,,,,,,,,,,,,,,,,,,,,,
527,760,60,56.87,,โรงเรียนบ้านปลวกแดง,999 ม.1,ปลวกแดง,ปลวกแดง,ระยอง,21140,1549,ตะวันออก,สพป.ระยอง,1,กฟก.2,3224,20001702289,,,,,,,,,,,,,,,,,,,48439.78,#N/A,SJP,เล็ก,,,,,,,,,,,,,,,,,,,,12.9703954,101.2117594,File original,,,,,,,,,,,,,,,,,,,,,
